Tool,File,Peak memory used,Runtime,Grouping Method,Singletons,Dataset,Completed?,Input reads (total),Input reads (mapped),Ouput reads (total),Output reads (mapped),Iteration
RUMINA_8_threads.directional_0_--singletons,SRR2057594.bam,0.3099212646484375,7.002063035964966,directional,Singletons,iclip,Completed,22747123,13806190,1064262,1064262,0
RUMINA_8_threads.directional_0_None,SRR2057572.bam,1.9834136962890625,27.190722942352295,directional,Strict,iclip,Completed,51266941,38909086,2938118,2938118,0
RUMINA_8_threads.directional_0_None,SRR2057566.bam,0.570709228515625,13.446293830871582,directional,Strict,iclip,Completed,58026048,32112503,570726,570726,0
RUMINA_8_threads.directional_0_None,SRR2057598.bam,0.0601654052734375,2.7481627464294434,directional,Strict,iclip,Completed,16928257,7628082,17172,17172,0
RUMINA_8_threads.directional_0_None,SRR2057567.bam,0.13336181640625,5.730856895446777,directional,Strict,iclip,Completed,29073508,16150468,27767,27767,0
RUMINA_8_threads.directional_0_None,SRR2057573.bam,0.6563873291015625,16.308425903320312,directional,Strict,iclip,Completed,36547643,29099813,2211984,2211984,0
RUMINA_8_threads.directional_0_None,SRR2057565.bam,0.827392578125,17.430463075637817,directional,Strict,iclip,Completed,54224960,37282481,1426343,1426343,0
RUMINA_8_threads.directional_0_None,SRR2057571.bam,0.587127685546875,17.46490788459778,directional,Strict,iclip,Completed,53324083,38959442,1482386,1482386,0
RUMINA_8_threads.directional_0_None,SRR2057570.bam,0.1561431884765625,10.441965818405151,directional,Strict,iclip,Completed,40405667,28847003,179023,179023,0
RUMINA_8_threads.directional_0_None,SRR2057564.bam,1.3085784912109375,15.023234844207764,directional,Strict,iclip,Completed,34489769,22727389,1724067,1724067,0
RUMINA_8_threads.directional_0_None,SRR2057574.bam,1.463958740234375,20.21783185005188,directional,Strict,iclip,Completed,34025199,25909660,2521884,2521884,0
RUMINA_8_threads.directional_0_None,SRR2057575.bam,1.462982177734375,25.19390368461609,directional,Strict,iclip,Completed,44442666,35308346,4111397,4111397,0
RUMINA_8_threads.directional_0_None,SRR2057577.bam,1.34063720703125,18.852687120437622,directional,Strict,iclip,Completed,43973441,28871002,2155984,2155984,0
RUMINA_8_threads.directional_0_None,SRR2057588.bam,0.152130126953125,12.070972919464111,directional,Strict,iclip,Completed,43441898,32658152,349898,349898,0
RUMINA_8_threads.directional_0_None,SRR2057589.bam,2.2814483642578125,26.54954433441162,directional,Strict,iclip,Completed,42863448,32826007,1432056,1432056,0
RUMINA_8_threads.directional_0_None,SRR2057576.bam,0.52606201171875,11.456028938293457,directional,Strict,iclip,Completed,40150715,25982822,686964,686964,0
RUMINA_8_threads.directional_0_None,SRR2057590.bam,0.1616363525390625,7.555434942245483,directional,Strict,iclip,Completed,29013856,21033934,124828,124828,0
RUMINA_8_threads.directional_0_None,SRR2057584.bam,1.0883636474609375,20.687063932418823,directional,Strict,iclip,Completed,42826826,31966575,3431275,3431275,0
RUMINA_8_threads.directional_0_None,SRR2057585.bam,1.7980499267578125,23.6891827583313,directional,Strict,iclip,Completed,40639954,29655146,2611446,2611446,0
RUMINA_8_threads.directional_0_None,SRR2057591.bam,0.8567657470703125,16.521732091903687,directional,Strict,iclip,Completed,32199796,24087600,2957155,2957155,0
RUMINA_8_threads.directional_0_None,SRR2057578.bam,0.519134521484375,12.727127075195312,directional,Strict,iclip,Completed,40335876,27320610,1168344,1168344,0
RUMINA_8_threads.directional_0_None,SRR2057587.bam,0.1990203857421875,12.981623888015747,directional,Strict,iclip,Completed,50200307,35217677,371748,371748,0
RUMINA_8_threads.directional_0_None,SRR2057593.bam,0.3809661865234375,8.487552881240845,directional,Strict,iclip,Completed,26262514,15752539,1137209,1137209,0
RUMINA_8_threads.directional_0_None,SRR2057592.bam,0.5398406982421875,11.385687112808228,directional,Strict,iclip,Completed,29407116,18608161,1584439,1584439,0
RUMINA_8_threads.directional_0_None,SRR2057586.bam,0.106231689453125,5.255069017410278,directional,Strict,iclip,Completed,19071541,14207706,126775,126775,0
RUMINA_8_threads.directional_0_None,SRR2057579.bam,0.3127288818359375,8.500046968460083,directional,Strict,iclip,Completed,29692490,19358021,708471,708471,0
RUMINA_8_threads.directional_0_None,SRR2057569.bam,1.5696258544921875,24.822950839996338,directional,Strict,iclip,Completed,50779697,38750707,3413898,3413898,0
RUMINA_8_threads.directional_0_None,SRR2057582.bam,0.7744598388671875,16.185070037841797,directional,Strict,iclip,Completed,39471313,28875433,2577509,2577509,0
RUMINA_8_threads.directional_0_None,SRR2057596.bam,0.0611572265625,1.718210220336914,directional,Strict,iclip,Completed,13421059,4272050,70932,70932,0
RUMINA_8_threads.directional_0_None,SRR2057597.bam,0.0321197509765625,0.23058009147644043,directional,Strict,iclip,Completed,4672700,250648,15630,15630,0
RUMINA_8_threads.directional_0_None,SRR2057583.bam,1.7411956787109375,22.72061824798584,directional,Strict,iclip,Completed,47622399,32736687,3045655,3045655,0
RUMINA_8_threads.directional_0_None,SRR2057568.bam,0.1667938232421875,7.234498023986816,directional,Strict,iclip,Completed,24425746,18186531,378773,378773,0
RUMINA_8_threads.directional_0_None,SRR2057595.bam,0.04254150390625,1.1367640495300293,directional,Strict,iclip,Completed,14786493,2827748,20686,20686,0
RUMINA_8_threads.directional_0_None,SRR2057581.bam,0.526824951171875,18.635587215423584,directional,Strict,iclip,Completed,65530071,47111880,535535,535535,0
RUMINA_8_threads.directional_0_None,SRR2057580.bam,0.989013671875,20.68992519378662,directional,Strict,iclip,Completed,55869362,39806552,2286559,2286559,0
RUMINA_8_threads.directional_0_None,SRR2057594.bam,0.3014373779296875,6.770611763000488,directional,Strict,iclip,Completed,22747123,13806190,835390,835390,0
RUMINA_8_threads.acyclic_0_None,SRR2057572.bam,2.0036773681640625,26.326263189315796,acyclic,Strict,iclip,Completed,51266941,38909086,3004021,3004021,0
RUMINA_8_threads.acyclic_0_None,SRR2057566.bam,0.5650787353515625,13.456368923187256,acyclic,Strict,iclip,Completed,58026048,32112503,596262,596262,0
RUMINA_8_threads.acyclic_0_None,SRR2057598.bam,0.0601043701171875,2.7447590827941895,acyclic,Strict,iclip,Completed,16928257,7628082,17261,17261,0
RUMINA_8_threads.acyclic_0_None,SRR2057567.bam,0.14263916015625,5.72869610786438,acyclic,Strict,iclip,Completed,29073508,16150468,28724,28724,0
RUMINA_8_threads.acyclic_0_None,SRR2057573.bam,0.6526336669921875,15.306514739990234,acyclic,Strict,iclip,Completed,36547643,29099813,2245570,2245570,0
RUMINA_8_threads.acyclic_0_None,SRR2057565.bam,0.8305206298828125,17.262726306915283,acyclic,Strict,iclip,Completed,54224960,37282481,1455796,1455796,0
RUMINA_8_threads.acyclic_0_None,SRR2057571.bam,0.60009765625,17.33262300491333,acyclic,Strict,iclip,Completed,53324083,38959442,1501044,1501044,0
RUMINA_8_threads.acyclic_0_None,SRR2057570.bam,0.16046142578125,10.430888891220093,acyclic,Strict,iclip,Completed,40405667,28847003,181192,181192,0
RUMINA_8_threads.acyclic_0_None,SRR2057564.bam,1.337066650390625,14.720218896865845,acyclic,Strict,iclip,Completed,34489769,22727389,1795051,1795051,0
RUMINA_8_threads.acyclic_0_None,SRR2057574.bam,1.499237060546875,18.84488296508789,acyclic,Strict,iclip,Completed,34025199,25909660,2592626,2592626,0
RUMINA_8_threads.acyclic_0_None,SRR2057575.bam,1.451873779296875,24.627444982528687,acyclic,Strict,iclip,Completed,44442666,35308346,4160097,4160097,0
RUMINA_8_threads.acyclic_0_None,SRR2057577.bam,1.3293914794921875,18.276264190673828,acyclic,Strict,iclip,Completed,43973441,28871002,2312634,2312634,0
RUMINA_8_threads.acyclic_0_None,SRR2057588.bam,0.1552276611328125,12.048543930053711,acyclic,Strict,iclip,Completed,43441898,32658152,351524,351524,0
RUMINA_8_threads.acyclic_0_None,SRR2057589.bam,2.2637939453125,24.80704402923584,acyclic,Strict,iclip,Completed,42863448,32826007,1568873,1568873,0
RUMINA_8_threads.acyclic_0_None,SRR2057576.bam,0.5142822265625,11.254209756851196,acyclic,Strict,iclip,Completed,40150715,25982822,708135,708135,0
RUMINA_8_threads.acyclic_0_None,SRR2057590.bam,0.1605224609375,7.556274890899658,acyclic,Strict,iclip,Completed,29013856,21033934,126540,126540,0
RUMINA_8_threads.acyclic_0_None,SRR2057584.bam,1.0785064697265625,18.93898105621338,acyclic,Strict,iclip,Completed,42826826,31966575,3459664,3459664,0
RUMINA_8_threads.acyclic_0_None,SRR2057585.bam,1.8097686767578125,20.709122896194458,acyclic,Strict,iclip,Completed,40639954,29655146,2667748,2667748,0
